"","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","Ave.Total"
"G1",5.2,3.2,2.7,1.2,2.7,2.2,3.2,4.2,2.4,2.5,3.9,2.8,4.2,3.8,2.4,2.9
"G10",1.8,0.8,2.5,3.9,NA,5.1,7.2,NA,6.6,3.5,NA,NA,5.2,6.9,6.6,4.6
"G2",NA,3,NA,2.2,3.7,3.3,3.6,2.3,3.5,2.5,3.2,1.9,5,4.8,2.1,3.2
"G3",4.1,5.9,8.2,6,2.5,4.2,5.2,5.9,7.6,5.9,7.7,11.1,11.2,9,7.3,6
"G4",0.4,NA,-1.9,NA,5,0.7,1.5,2,2.9,3.8,3.4,4.3,2.7,6.4,3.3,3.2
"G5",11.5,NA,NA,NA,10,11.7,2.3,5.3,NA,NA,8.5,7.9,5.7,NA,7.1,6.5
"G6",NA,3,4.4,NA,-0.5,-1.6,3.6,NA,NA,NA,NA,NA,NA,9.1,NA,3
"G7",5.6,8.9,3.2,NA,NA,5,5.4,NA,NA,NA,NA,NA,NA,NA,NA,5.6
"G8",1.9,-0.3,NA,4.6,NA,5.3,NA,NA,NA,NA,8,7.1,7.8,NA,NA,4.9
"G9",2.5,2.7,2.9,2.3,5.7,3.4,NA,5.6,2,NA,0.8,5.9,-0.1,NA,NA,3.1
