period,i,j,friend_m1
1975-1997,no,dk,1
1975-1997,lu,ie,1
1975-1997,il,yu,1
1975-1997,mt,hr,1
1975-1997,is,no,1
1975-1997,hr,pt,1
1975-1997,hu,pl,1
1975-1997,se,dk,1
1975-1997,hr,mt,1
1975-1997,gb,be,1
1975-1997,is,se,1
1975-1997,be,ch,1
1975-1997,gb,lu,1
1975-1997,dk,is,1
1975-1997,ch,be,1
1975-1997,gr,cy,1
1975-1997,fr,at,1
1975-1997,is,fi,1
1975-1997,lu,ch,1
1975-1997,at,fr,1
1975-1997,mc,it,1
1975-1997,ru,si,1
1975-1997,se,is,1
1975-1997,be,lu,1
1975-1997,be,gb,1
1975-1997,it,es,1
1975-1997,pl,hu,1
1975-1997,de,nl,1
1975-1997,hu,ee,1
1975-1997,es,mc,1
1975-1997,lu,be,1
1975-1997,fi,is,1
1975-1997,yu,il,1
1975-1997,is,dk,1
1975-1997,ee,pl,1
1975-1997,se,no,1
1975-1997,cy,gr,1
1975-1997,nl,at,1
1975-1997,lu,gb,1
1975-1997,fr,de,1
1975-1997,ie,ch,1
1975-1997,fi,no,1
1975-1997,no,is,1
1975-1997,ee,hu,1
1975-1997,ba,tr,1
1975-1997,dk,no,1
1975-1997,pl,ee,1
1975-1997,nl,fr,1
1975-1997,de,at,1
1975-1997,dk,se,1
1975-1997,at,de,1
1975-1997,ie,lu,1
1975-1997,mc,es,1
1975-1997,ie,gb,1
1975-1997,de,fr,1
1975-1997,gb,ie,1
1975-1997,nl,de,1
1975-1997,fr,nl,1
1975-1997,dk,fi,1
1975-1997,it,mc,1
1975-1997,tr,ba,1
1975-1997,ch,ie,1
1975-1997,es,it,1
1975-1997,si,ru,1
1975-1997,pt,mt,1
1975-1997,pt,hr,1
1975-1997,fi,se,1
1975-1997,no,fi,1
1975-1997,fi,dk,1
1975-1997,ie,be,1
1975-1997,be,ie,1
1975-1997,se,fi,1
1975-1997,at,nl,1
1975-1997,ch,lu,1
1975-1997,gb,ch,1
1975-1997,no,se,1
1975-1997,ch,gb,1
1975-1997,mt,pt,1
1998-2012,md,ro,1
1998-2012,rs,ba,1
1998-2012,il,ua,1
1998-2012,no,dk,1
1998-2012,ua,by,1
1998-2012,am,by,1
1998-2012,is,no,1
1998-2012,hr,si,1
1998-2012,hu,pl,1
1998-2012,se,dk,1
1998-2012,ua,ru,1
1998-2012,ge,ua,1
1998-2012,is,se,1
1998-2012,ch,de,1
1998-2012,dk,is,1
1998-2012,ru,il,1
1998-2012,gr,cy,1
1998-2012,ba,si,1
1998-2012,by,il,1
1998-2012,hr,rs,1
1998-2012,ru,am,1
1998-2012,tr,az,1
1998-2012,ua,ge,1
1998-2012,is,fi,1
1998-2012,am,ge,1
1998-2012,am,ua,1
1998-2012,it,al,1
1998-2012,se,is,1
1998-2012,hr,ba,1
1998-2012,pl,hu,1
1998-2012,at,ch,1
1998-2012,ge,il,1
1998-2012,hr,mk,1
1998-2012,mk,si,1
1998-2012,ru,by,1
1998-2012,fi,is,1
1998-2012,is,dk,1
1998-2012,fr,pt,1
1998-2012,fr,es,1
1998-2012,be,nl,1
1998-2012,cy,gr,1
1998-2012,se,no,1
1998-2012,az,tr,1
1998-2012,by,ru,1
1998-2012,ba,hr,1
1998-2012,fi,no,1
1998-2012,no,is,1
1998-2012,ba,mk,1
1998-2012,lt,ee,1
1998-2012,dk,no,1
1998-2012,il,ru,1
1998-2012,by,am,1
1998-2012,mk,rs,1
1998-2012,am,il,1
1998-2012,ee,lv,1
1998-2012,de,at,1
1998-2012,dk,se,1
1998-2012,il,am,1
1998-2012,lt,lv,1
1998-2012,ee,lt,1
1998-2012,ro,md,1
1998-2012,ba,rs,1
1998-2012,mk,ba,1
1998-2012,mk,hr,1
1998-2012,at,de,1
1998-2012,ge,am,1
1998-2012,ie,gb,1
1998-2012,gb,ie,1
1998-2012,rs,si,1
1998-2012,pt,fr,1
1998-2012,dk,fi,1
1998-2012,al,it,1
1998-2012,il,by,1
1998-2012,rs,hr,1
1998-2012,ie,mt,1
1998-2012,rs,mk,1
1998-2012,mt,ie,1
1998-2012,nl,be,1
1998-2012,pt,es,1
1998-2012,de,ch,1
1998-2012,ua,il,1
1998-2012,ch,at,1
1998-2012,fi,se,1
1998-2012,am,ru,1
1998-2012,ge,by,1
1998-2012,si,rs,1
1998-2012,no,fi,1
1998-2012,ua,am,1
1998-2012,ru,ge,1
1998-2012,fi,dk,1
1998-2012,es,fr,1
1998-2012,lv,lt,1
1998-2012,ge,ru,1
1998-2012,ru,ua,1
1998-2012,se,fi,1
1998-2012,es,pt,1
1998-2012,by,ge,1
1998-2012,si,ba,1
1998-2012,si,hr,1
1998-2012,gb,mt,1
1998-2012,mt,gb,1
1998-2012,by,ua,1
1998-2012,no,se,1
1998-2012,si,mk,1
1998-2012,il,ge,1
1998-2012,lv,ee,1
