"period","group","country","code"
"1998-2012","G1","Denmark","dk"
"1998-2012","G1","Estonia","ee"
"1998-2012","G1","Finland","fi"
"1998-2012","G1","Iceland","is"
"1998-2012","G1","Latvia","lv"
"1998-2012","G1","Norway","no"
"1998-2012","G1","Sweden","se"
"1998-2012","G2","Armenia","am"
"1998-2012","G2","Georgia","ge"
"1998-2012","G2","Lithuania","lt"
"1998-2012","G2","Poland","pl"
"1998-2012","G2","Russia","ru"
"1998-2012","G2","Ukraine","ua"
"1998-2012","G3","Bosnia & Herzegovina","ba"
"1998-2012","G3","Croatia","hr"
"1998-2012","G3","Macedonia","mk"
"1998-2012","G3","Serbia","rs"
"1998-2012","G3","Slovenia","si"
"1998-2012","G4","Azerbaijan","az"
"1998-2012","G4","Moldova","md"
"1998-2012","G4","Romania","ro"
"1998-2012","G4","Turkey","tr"
"1998-2012","G5","Albania","al"
"1998-2012","G5","Cyprus","cy"
"1998-2012","G5","Greece","gr"
"1998-2012","G6","Austria","at"
"1998-2012","G6","Germany","de"
"1998-2012","G7","Belgium","be"
"1998-2012","G7","Netherlands","nl"
"1998-2012","G8","Spain","es"
"1998-2012","G8","Portugal","pt"
"1998-2012","G9","France","fr"
"1998-2012","G9","Israel","il"
"1998-2012","G10","United Kingdom","gb"
"1998-2012","G10","Ireland","ie"
"1998-2012","G11","Switzerland","ch"
"1998-2012","G12","Hungary","hu"
"1998-2012","G13","Malta","mt"
